IGSN;Latitude;Longitude;Field program/cruise;Collection date
10.58052/IEFOU001V;47.0983401406556;-0.404296489432454;METEOR project (Loire-Brittany water agency);2017-03-10T05:00:00Z
10.58052/IEFOU001W;47.0974863599986;-0.40169189684093;METEOR project (Loire-Brittany water agency);2017-03-10T05:00:00Z
10.58052/IEFOU001X;47.0986490137875;-0.397738823667169;METEOR project (Loire-Brittany water agency);2017-03-10T05:00:00Z
10.58052/IEFOU001Y;47.1022620331496;-0.393152665346861;METEOR project (Loire-Brittany water agency);2017-03-10T05:00:00Z
10.58052/IEFOU001Z;47.1013945061714;-0.394153967499733;METEOR project (Loire-Brittany water agency);2017-03-10T05:00:00Z
10.58052/IEFOU0020;45.2504132967442;3.71395817957818;METEOR project (Loire-Brittany water agency);2017-08-06T04:00:00Z
10.58052/IEFOU0021;45.2515119127929;3.71247231960297;METEOR project (Loire-Brittany water agency);2017-08-06T04:00:00Z
10.58052/IEFOU0022;45.2512357290834;3.71032227762044;METEOR project (Loire-Brittany water agency);2017-08-06T04:00:00Z
10.58052/IEFOU0023;45.2506920788437;3.71057909913361;METEOR project (Loire-Brittany water agency);2017-08-06T04:00:00Z
10.58052/IEFOU0024;45.2487571164965;3.71272872202098;METEOR project (Loire-Brittany water agency);2017-08-06T04:00:00Z
10.58052/IEFOU0025;48.899342;3.008571;PIREN SEINE;2021-09-06T04:00:00Z
10.58052/IEFOU0026;48.899201;3.007917;PIREN SEINE;2021-09-06T04:00:00Z
10.58052/IEFOU0027;48.53242;2.570115;PIREN SEINE;2021-01-21T05:00:00Z
10.58052/IEFOU0028;47.150763;0.778108;METEOR project (Loire-Brittany water agency);2018-10-03T04:00:00Z
10.58052/IEFOU0029;47.152193;0.777378;VERSEAU project;2016-01-11T05:00:00Z
10.58052/IEFOU002A;47.153;0.778;VERSEAU project;2013-10-09T04:00:00Z
10.58052/IEFOU002B;47.152;0.775;VERSEAU project;2012-03-15T04:00:00Z
10.58052/IEFOU002C;47.15;0.78;VERSEAU project;2012-03-15T04:00:00Z
10.58052/IEFOU002D;-32.81786667;-56.40013333;ANR AVATAR;2022-08-12T04:00:00Z
10.58052/IEFOU002E;-34.34563333;-57.70798333;ANR AVATAR;2023-03-08T05:00:00Z
10.58052/IEFOU002F;-31.271486;-57.933305;ANR AVATAR;2022-12-01T05:00:00Z
10.58052/IEFOU002G;49.106019;1.475499;ANR SEDIPLAST;2022-07-27T04:00:00Z
10.58052/IEFOU002H;14.581763;-60.933633;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-16T05:00:00Z
10.58052/IEFOU002I;14.581903;-60.93358;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-16T05:00:00Z
10.58052/IEFOU002J;14.582315;-60.933418;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-16T05:00:00Z
10.58052/IEFOU002K;14.582157;-60.932959;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-16T05:00:00Z
10.58052/IEFOU002L;14.580688;-60.93293;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-20T05:00:00Z
10.58052/IEFOU002M;14.580749;-60.932926;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-20T05:00:00Z
10.58052/IEFOU002N;14.581212;-60.93292;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-21T05:00:00Z
10.58052/IEFOU002O;14.581349;-60.932991;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-21T05:00:00Z
10.58052/IEFOU002P;14.581577;-60.933121;Plan Chlordécone en Martinique et en Guadeloupe;2023-02-21T05:00:00Z
10.58052/IEFOU008V;43.76722;3.09031;Paul Hazet  PhD;2023-10-05T04:00:00Z
10.58052/IEFOU008W;43.7669;3.090139;Paul Hazet  PhD;2023-10-05T04:00:00Z
