IGSN;Sample Name;Material;Release Date;Latitude;Longitude;Field program/cruise;Collection date
10.58052/IE034001L;DZOU05_1648;Soil;;-12.711584;45.094376;LESELAM3;2021-09-06
10.58052/IE034001M;DZOU05_1649;Soil;;-12.707532;45.086845;LESELAM3;2021-09-06
10.58052/IE034001O;DZOU05_1652;Soil;;-12.707987;45.088037;LESELAM3;2021-09-06
10.58052/IE034001P;DZOU05_1653;Soil;;-12.716658;45.100696;LESELAM3;2021-09-06
10.58052/IE034001Q;DZOU05_1654;Soil;;-12.70924;45.099701;LESELAM3;2021-09-06
10.58052/IE034001R;DZOU05_1655;Soil;;-12.704766;45.097321;LESELAM3;2021-09-06
10.58052/IE034001T;DZOU05_1657;Soil;;-12.703999;45.098922;LESELAM3;2021-09-06
10.58052/IE034001V;DZOU05_1659;Soil;;-12.713569;45.107472;LESELAM3;2021-09-06
10.58052/IE034001W;DZOU05_1660;Soil;;-12.712009;45.107268;LESELAM3;2021-09-06
10.58052/IE034001X;DZOU05_1661;Soil;;-12.708054;45.110696;LESELAM3;2021-09-06
10.58052/IE034001Y;DZOU05_1662;Soil;;-12.709384;45.109289;LESELAM3;2021-09-06
10.58052/IE034001Z;DZOU05_1663;Soil;;-12.707028;45.107122;LESELAM3;2021-09-06
10.58052/IE0340020;DZOU05_1664;Soil;;-12.706413;45.105999;LESELAM3;2021-09-06
10.58052/IE0340021;DZOU05_1665;Soil;;-12.705781;45.104989;LESELAM3;2021-09-06
10.58052/IE0340022;DZOU05_1666;Soil;;-12.707296;45.104428;LESELAM3;2021-09-06
10.58052/IE0340023;DZOU05_1667;Soil;;-12.70622;45.1025;LESELAM3;2021-09-06
10.58052/IE0340024;DZOU05_1668;Soil;;-12.710528;45.105828;LESELAM3;2021-09-06
